filename,dynasty,author,title,form,technique_zh,subject_zh,technique,subject,category_3,category_raw,category_fine
"宋_李嵩_水末孤亭_ 页_浅绛,山水_山林,亭子,草,河流,印章,文字_绢本_46cmX50cm_北_0f906739.jpg",宋,李嵩,水末孤亭,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_李嵩_溪山水阁_ 页_水墨,山水_印章,亭子,树,河流,山林_绢本_24.2cmX24.7cm__53b6e97d.jpg",宋,李嵩,溪山水阁,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_李嵩_溪山水阁图_页_水墨,山水_页_山水_绢本_24.2cmX24.7cm _ _82a54cb2.jpg",宋,李嵩,溪山水阁图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_李嵩_货郎_ 页_工笔,人物_印章,学者,孩童,树枝,树叶,石头_绢本_25.5cmX70.4c_bbcbcb67.jpg",宋,李嵩,货郎,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_李成_茂林远岫册_页_水墨,山水_ _山水_绢本 _  _ _4ea0911b.jpg",宋,李成,茂林远岫册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_李迪_双雀图_ 页_工笔,花鸟_枯树,石头,树,鸟,印章_绢本_35cmX34cm_ _2db580b4.jpg",宋,李迪,双雀图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_李迪_双雀图_页_工笔,花鸟_ _花鸟_绢本_35cmX34cm _ _133e0d8c.jpg",宋,李迪,双雀图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_李迪_古木寒禽_ 页_水墨,山水_山,枯树,河流,草,印章,文字,山林_绢本_48cmX50cm_23b7c333.jpg",宋,李迪,古木寒禽,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_李迪_古木寒禽图_页_水墨,山水_水墨,山水_树_ _48cmX50cm _ _1018a837.jpg",宋,李迪,古木寒禽图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_李迪_无花果图_页_工笔,花鸟_ _工笔,花鸟_绢本_24.8cmX25cm _ _1d8a1fed.jpg",宋,李迪,无花果图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_李迪_红白芙蓉图_页_工笔,花鸟_ _花鸟_绢本_25.2cmX26cm_东京博物馆_15d2f8b2.jpg",宋,李迪,红白芙蓉图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_李迪_红白芙蓉图_页_工笔,花鸟_ _花鸟_绢本_25.2cmX26cm_东京博物馆_1735758774_ef06ab41.jpg",宋,李迪,红白芙蓉图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_李迪_苏武牧羊_ 页_工笔,人物_牧羊人,羊,树,石头,草,印章,文字_绢本_53cmX50cm_ _08fcff4f.jpg",宋,李迪,苏武牧羊,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_杨士贤_寒山飞瀑_ 页_水墨,山水_山林,文字,亭子,河流_绢本_50cmX56cm_ _8264b506.jpg",宋,杨士贤,寒山飞瀑,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_杨无咎_雪梅图_页_工笔,花鸟_卷_花鸟_绢本_27cmX64.2cm _ _d6f010e3.jpg",宋,杨无咎,雪梅图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_林椿_枇杷山鸟图 _页_工笔,花鸟_绢本_26.9cmX27.2cm _ _1735758774_7762f260.jpg",宋,林椿,枇杷山鸟图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_林椿_枇杷山鸟图_页_工笔,花鸟_ _花鸟_绢本_26.9cmX27.2cm _ _546c9546.jpg",宋,林椿,枇杷山鸟图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_林椿_果熟来禽图_页_工笔,花鸟_绢本_26cmX27cm _ _1735758774_5675838b.jpg",宋,林椿,果熟来禽图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_林椿_葡萄草虫图 _ _工笔,花鸟_葡萄,草虫_绢本_39cmX38cm_北京故宫博物院_05f4c9e3.jpg",宋,林椿,葡萄草虫图,,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_林椿_葡萄草虫图_ 页_工笔,花鸟_树枝,树叶,蜻蜓,文字_绢本_39cmX38cm_故宫博物院_6b33b43f.jpg",宋,林椿,葡萄草虫图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_梁楷_三高游赏_双 页_写意,人物_文字,学者,对话_绢本_26cmX25.2cm_ _e4a91fee.jpg",宋,梁楷,三高游赏,双 页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_梁楷_六祖截竹图_页_写意,人物_ _人物 _ _77cmX33cm _ _358dde94.jpg",宋,梁楷,六祖截竹图,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_梁楷_布袋和尚图_页_工笔,人物_ _人物_绢本_31.3cmX24cm_上海博物馆_c058634d.jpg",宋,梁楷,布袋和尚图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_梁楷_李白行吟图_页_写意,人物_ _人物 _ _81.1cmX30cm _ _b8467092.jpg",宋,梁楷,李白行吟图,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_梁楷_柳溪卧笛册_页_水墨,山水_ _山水_绢本_45cmX45cm _ _027ecccf.jpg",宋,梁楷,柳溪卧笛册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_梁楷_泽畔行吟_ 页_写意,人物_河流,学者,文字_绢本_22cmX26cm_ _79217279.jpg",宋,梁楷,泽畔行吟,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_梁楷_泽畔行吟册_页_水墨,山水_  _工笔,山水_ _22cmX26cm _ _7912477a.jpg",宋,梁楷,泽畔行吟册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_梁楷_疏柳寒鸦_ 页_写意,花鸟_树枝,树叶,鸟_绢本_30cmX32cm_ _8015907b.jpg",宋,梁楷,疏柳寒鸦,页,写意,花鸟,Xieyi,FlowerBird,FlowerBird,Xieyi-FlowerBird,Xieyi-FlowerBird
"宋_梁楷_秋柳双鸦_双 页_写意,花鸟_文字,印章,树,鸟_绢本_24.7cmX25.7cm_ _9eeda541.jpg",宋,梁楷,秋柳双鸦,双 页,写意,花鸟,Xieyi,FlowerBird,FlowerBird,Xieyi-FlowerBird,Xieyi-FlowerBird
"宋_梁楷_雪景山水_页_水墨,山水_山水 _ _25cmX27cm_日本私人藏_99e7cb6c.jpg",宋,梁楷,雪景山水,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_梁楷_雪景山水册_页_水墨,山水_ _山水_绢本_111.3cmX49cm _ _eb65b44d.jpg",宋,梁楷,雪景山水册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_毛益_鸡图_页_工笔,花鸟_ _花鸟 _ _21.6cmX22.5cm _ _370daf39.jpg",宋,毛益,鸡图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_燕文贵_层楼春眺_双 页_浅绛,山水_印章,文字,亭子,山林,河流,松树,草_绢本_23.7cm_9f49161a.jpg",宋,燕文贵,层楼春眺,双 页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_燕文贵_秋山萧寺册_页_水墨,山水_ _山水_绢本_32.5cmX321cm _ _5a5e8772.jpg",宋,燕文贵,秋山萧寺册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_王晋卿_柳荫高士_ 页_工笔,人物_学者,坐卧,竹节,竹叶,树_绢本_67cmX67cm_ _2c338618.jpg",宋,王晋卿,柳荫高士,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_王诜_柳荫高士图_页_工笔,人物_ _人物 _ _40cmX40cm_北京故宫博物院_17357_6fa6f3a7.jpg",宋,王诜,柳荫高士图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_王诜_柳荫高士图_页_工笔,人物_ _人物 _ _40cmX40cm_北京故宫博物院_b633818d.jpg",宋,王诜,柳荫高士图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_王诜_溪山秋霁图_页_浅绛,山水_ _绢本_45.2cmX206cm_弗利尔博物馆_fa707779.jpg",宋,王诜,溪山秋霁图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_王诜_玉楼春思_ 页_浅绛,山水_河流,印章,文字,亭子,山林,树,石头,草,船_绢本_25cm_841bea4b.jpg",宋,王诜,玉楼春思,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_王诜_赢山图_卷_浅绛,山水_ _绢本_24.5cmX145.1cm _ _36eb5b74.jpg",宋,王诜,赢山图,卷,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_珪观_山水册_页_水墨,山水_ _山水 _ _47cmX45cm _ _e449d252.jpg",宋,珪观,山水册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_祁序_江山放牧册_页_浅绛,山水_ _山水、人物_绢本_47.3cmx115.6cm _ _eb3d79a9.jpg",宋,祁序,江山放牧册,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_米友仁_好山无数图_ 卷_水墨,山水_印章,文字,山群,树_绢本_34cmX195cm_ _1181435d.jpg",宋,米友仁,好山无数图,卷,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_米友仁_山水 卷_水墨,山水_ 卷_水墨,山水_印章,文字,山群,树_绢本_26cmX270cm_f4f99828.jpg",宋,米友仁,山水 卷,"水墨,山水",水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_胡直天_朝阳_ 页_写意,人物_学者,长袍,坐卧_绢本_22.3cmX23cm_ _a5e01a2a.jpg",宋,胡直天,朝阳,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_苏汉臣_侲童傀儡_ 页_工笔,人物_树,孩童,坐卧_绢本_23.6cmX23cm_ _9afe0d90.jpg",宋,苏汉臣,侲童傀儡,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_苏汉臣_百子嬉春_双 页_工笔,人物_印章,文字,双页,亭子,行人,欢聚,歌舞_绢本_37.2c_7d483be7.jpg",宋,苏汉臣,百子嬉春,双 页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_苏汉臣_秋庭戏婴图_页_工笔,人物_ _人物_绢本_197.5cmX108.7cm_北京故宫博物馆_acd01341.jpg",宋,苏汉臣,秋庭戏婴图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_范宽_溪山行旅册_页_水墨,山水_ _山水_绢本_206.3cmX103.3cm_台北故宫博物馆_9a6f7197.jpg",宋,范宽,溪山行旅册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_萝窗_竹鸡图_页_工笔,花鸟_轴_花鸟_绢本_96.3cmX43.4cm_东京博物馆_fcc39f27.jpg",宋,萝窗,竹鸡图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_萧照_山腰楼观图_页_浅绛,山水_ _绢本_179.3cmX112.7cm _ _59163898.jpg",宋,萧照,山腰楼观图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_萧照_秋山红树_双 页_浅绛,山水_文字,印章,山,树,船,草_绢本_69.9cmX42.2cm_3444b1d5.jpg",宋,萧照,秋山红树,双 页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_萧照_秋山红树_页_浅绛,山水_山水_绢本_69.9cmX42.2cm _ _8b4f06cb.jpg",宋,萧照,秋山红树,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_萧照_秋山红树册_页_水墨,山水_ _山水 _  _  _ _6f3d68eb.jpg",宋,萧照,秋山红树册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_萧照_秋山红树图_页_水墨,山水_轴_山水_绢本_197.8cmX111.8cm _ _a6668f2c.jpg",宋,萧照,秋山红树图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_赵伯驹_蓬莱仙馆_双页_浅绛,山水_文字,亭子,河流,印章,双页,树,石头,行人_绢本_31cm_024b1f46.jpg",宋,赵伯驹,蓬莱仙馆,双页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_赵伯骕_碧山绀宇图 _页_浅绛,山水_ _绢本_25.5cmX25cm _ _0ce7057b.jpg",宋,赵伯骕,碧山绀宇图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_赵伯骕_骑士猎归_双页_工笔,人物_印章,文字,马,士兵_绢本+纸本_41cmX66cm_ _6cd075cd.jpg",宋,赵伯骕,骑士猎归,双页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_赵佶_五色鹦鹉图_页_工笔,花鸟_画芯 _ _绢本_53.3cmX125.1cm _ _05a1d934.jpg",宋,赵佶,五色鹦鹉图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_听琴图_页_工笔,人物_  _  _  _ _故宫博物院_85de5e87.jpg",宋,赵佶,听琴图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_赵佶_戴胜图_页_工笔,花鸟_ _绢本_55cmX59cm_ _7628ec5e.jpg",宋,赵佶,戴胜图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_戴胜图_页_工笔,花鸟_树枝,树叶,含苞花,鸟_绢本_55cmX59cm_ _e4d4847c.jpg",宋,赵佶,戴胜图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_文会图_页_工笔,人物_  _ _绢本_184.4cmX123.9cm_台北故宫博物院_fc126b53.jpg",宋,赵佶,文会图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_赵佶_枇杷山鸟图_双页_工笔,花鸟_印章,文字,树枝,树叶,含苞花,鸟_绢本_26.9cmX27_ae8d34d1.jpg",宋,赵佶,枇杷山鸟图,双页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_枇杷山鸟图_页_工笔,花鸟_花鸟_绢本_26.9cmX27.2cm _ _f1100298.jpg",宋,赵佶,枇杷山鸟图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_柳鸦芦雁图_页_工笔,花鸟_柳、鸦、芦、雁_绢本_34cmX223cm _ _c155f7fe.jpg",宋,赵佶,柳鸦芦雁图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_桃鸠图_页_工笔,花鸟_花鸟_绢本_28.5cmX27cm _ _99b91579.jpg",宋,赵佶,桃鸠图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_梅花绣眼图_页_工笔,花鸟_花鸟_绢本_24.5cmX24.8cm_北京故宫博物院_1735758775_451990c6.jpg",宋,赵佶,梅花绣眼图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_梅花绣眼图_页_工笔,花鸟_花鸟_绢本_24.5cmX24.8cm_北京故宫博物院_e8f59cfa.jpg",宋,赵佶,梅花绣眼图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_池塘秋晚图_页_工笔,花鸟_ _纸本 _  _ _1c89e0d1.jpg",宋,赵佶,池塘秋晚图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_瑞鹤图_页_工笔,花鸟_ _绢本_51cmX138cm _ _3229a1d4.jpg",宋,赵佶,瑞鹤图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_祥龙石图_页_工笔,花鸟_ _绢本_53.9cmX127cm _ _05bf306e.jpg",宋,赵佶,祥龙石图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_芙蓉锦鸡图_页_工笔,花鸟_花鸟_绢本_81.5cmX53.6cm _ _b2a6906f.jpg",宋,赵佶,芙蓉锦鸡图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_花鸟图册_页_工笔,花鸟_树枝,针叶树,盛开花,粉花,鸟,印章,文字,含苞花_绢本_58c_29d86277.jpg",宋,赵佶,花鸟图册,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵佶_雪江归棹图_页_工笔,花鸟_ _绢本_30.3cmX190.8cm_北京故宫博物院_aadae2b8.jpg",宋,赵佶,雪江归棹图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵孟坚_墨兰图_页_工笔,花鸟_卷_花鸟_纸本_34.5cmX90.2cm _ _47976a38.jpg",宋,赵孟坚,墨兰图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_赵孟坚_岁寒三友图_页_写意,花鸟_ _花鸟 _ _24.3cmX23.3cm_上海博物馆_6e887d02.jpg",宋,赵孟坚,岁寒三友图,页,写意,花鸟,Xieyi,FlowerBird,FlowerBird,Xieyi-FlowerBird,Xieyi-FlowerBird
"宋_赵昌_写生蛱蝶图_页_工笔,花鸟_卷_花鸟_纸本_27.7cmX242cm _ _16474302.jpg",宋,赵昌,写生蛱蝶图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_郭熙_溪山行旅册_页_水墨,山水_ _山水 _ _26.3cmX24.7cm _ _e295a52e.jpg",宋,郭熙,溪山行旅册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_郭熙_秋山行旅册_页_水墨,山水_ _山水_绢本_141cmX97cm_海外遗散_27980013.jpg",宋,郭熙,秋山行旅册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_金大受_十六罗汉图2 _页_工笔,人物_人物_绢本_172cmX77cm_东京博物馆_61f2b66a.jpg",宋,金大受,十六罗汉图2,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_阎次于_山村归骑_ 页_浅绛,山水_留白,印章,树林,石头,河流,山林_绢本_34cmX36cm_be00b616.jpg",宋,阎次于,山村归骑,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_陈容_墨龙卷_卷_水墨,山水_龙 _ _34.3cmX50cm _ _2a2a881a.jpg",宋,陈容,墨龙卷,卷,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_陈居中_四羊_ 页_工笔,花鸟_枯树,羊,印章,草,树枝_绢本_22.5cmX24cm_ _af2b11d7.jpg",宋,陈居中,四羊,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_陈清波_湖山春晓册_页_水墨,山水_ _山水 _ _67cmX77cm _ _9281f434.jpg",宋,陈清波,湖山春晓册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_雪渔_卷_浅绛,山水_树,河流,船,山林,草,石头_卷_绢本_30cmX650cm_ _3e26dd1c.jpg",宋,雪渔,卷,"浅绛,山水",浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"宋_马和之_画赵构书唐风_ 页_工笔,人物_树枝,树叶,印章,学者,对话,山林_绢本_71.2cmX52.1cm_ _2b6847bc.jpg",宋,马和之,画赵构书唐风,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马和之_画赵构书唐风册_ 页_工笔,人物_亭子,学者,坐卧,树,石头,草,印章_绢本_71.2c_ef3069c8.jpg",宋,马和之,画赵构书唐风册,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马和之_画赵构书唐风册_ 页_工笔,人物_学者,长袍,行人,印章_绢本_71.2cmX52.1cm_ _f8febfc0.jpg",宋,马和之,画赵构书唐风册,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马和之_画赵构书唐风册_ 页_工笔,人物_河流,学者,树,石头_绢本_71.2cmX52.1cm_ _c98d41ff.jpg",宋,马和之,画赵构书唐风册,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马远(传)_山水_ 页_水墨,山水_树,树枝,山,石头,人,人物,草地_绢本_ 25.5cmX2_ca9f4c5b.jpg",宋,马远(传),山水,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_ _ 页_水墨,山水_学者,坐卧,山,草,石头,留白,印章_绢本_30cmX30cm__4956b0d3.jpg",宋,马远,,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_倚云仙杏图_页_工笔,花鸟_页 _工笔,花鸟_ _27cmX28cm_台北博物院_b1af7d2e.jpg",宋,马远,倚云仙杏图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_马远_寒山子_ 页_写意,人物_学者,袍子,行走,草,草地,印章_绢本_49cmX53cm_ _1ac7f04b.jpg",宋,马远,寒山子,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"宋_马远_寒江独釣册_页_水墨,山水_ _山水_绢本_40cmX51cm_东京博物馆_0d53424c.jpg",宋,马远,寒江独釣册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_山径春行图 _页_工笔,人物_  _ _27.4cmX43.1cm_台北故宫博物院_66de8af5.jpg",宋,马远,山径春行图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马远_山水册_页_水墨,山水_ _山水 _ _28.2cmX38cm _ _dab3eece.jpg",宋,马远,山水册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_山水册_页_水墨,山水_ _山水_绢本_25.5cmX25.7cm_维多利亚和阿尔伯特博物馆_89e9f7ad.jpg",宋,马远,山水册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_柳溪钓艇_双 页_水墨,山水_文字,印章,树,石头_绢本_34cmX89cm_ _622e8ebb.jpg",宋,马远,柳溪钓艇,双 页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_梅溪放艇_ 页_水墨,山水_船,河流,树,树林,山,石头,草,印章_绢本_49cmX50c_345e7497.jpg",宋,马远,梅溪放艇,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_梅溪放艇册_页_水墨,山水_ _山水 _ _49cmX50cm _ _092b1be9.jpg",宋,马远,梅溪放艇册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_白蔷薇图_页_工笔,花鸟_工笔,花,叶子_ _26.2cmX25cm _ _10dad763.jpg",宋,马远,白蔷薇图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_马远_白蔷薇图_页_工笔,花鸟_页_花鸟 _ _26.2cmX25cm _ _df5cf525.jpg",宋,马远,白蔷薇图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋_马远_石壁看云册_页_水墨,山水_ _山水_绢本_49cmX49cm _ _949a24eb.jpg",宋,马远,石壁看云册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_石壁看云图_ 页_水墨,山水_河流,石头,学者,草_绢本_49cmX49cm_ _abade6f2.jpg",宋,马远,石壁看云图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_竹涧焚香图_双页_水墨,山水_文字,印章,石头,学者,坐卧,山,草_绢本_34cmX67cm_ _71ef91cb.jpg",宋,马远,竹涧焚香图,双页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马远_舟人形图_ 页_工笔,人物_河流,船,枯树,芦苇,学者,坐卧,长袍_绢本_21.2cmX21.8cm_ _cc6e28a5.jpg",宋,马远,舟人形图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马远_舟人形图_页_工笔,人物_ _绢本_21.2cmX21.8cm _ _b8c65d5d.jpg",宋,马远,舟人形图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋_马远_观瀑_ 页_水墨,山水_河流,学者,树林,石头,印章,文字_绢本_30cmX30cm_ _81684ad4.jpg",宋,马远,观瀑,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"宋_马麟_层叠冰绡图_轴_工笔,花鸟_工笔,花,树枝_绢布_101.7cmX49.6cm_北京故宫博物院_59e8f25e.jpg",宋,马麟,层叠冰绡图,轴,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
